# VARCHAR to TEXT Changes Tracking File
# Format: table_name.column_name | old_type | new_type
# Total changes: 151

media_storage.mime_type | VARCHAR(100) | TEXT
inventory.storage_location_detail | VARCHAR(255) | TEXT
inventory.supplier_name | VARCHAR(255) | TEXT
real_estate.property_subtype | VARCHAR(100) | TEXT
real_estate.parcel_number | VARCHAR(100) | TEXT
real_estate.deed_type | VARCHAR(100) | TEXT
real_estate.title_company | VARCHAR(255) | TEXT
real_estate.title_policy_number | VARCHAR(100) | TEXT
real_estate.mortgage_institution | VARCHAR(255) | TEXT
real_estate.mortgage_account_number | VARCHAR(100) | TEXT
real_estate.homeowners_insurance_company | VARCHAR(255) | TEXT
real_estate.homeowners_policy_number | VARCHAR(100) | TEXT
life_insurance.insurance_company | VARCHAR(255) | TEXT
life_insurance.policy_number | VARCHAR(100) | TEXT
life_insurance.policy_type | VARCHAR(100) | TEXT
life_insurance.agent_name | VARCHAR(255) | TEXT
financial_accounts.institution_name | VARCHAR(255) | TEXT
financial_accounts.account_title | VARCHAR(255) | TEXT
financial_accounts.advisor_name | VARCHAR(255) | TEXT
financial_accounts.online_access_url | VARCHAR(500) | TEXT
financial_accounts.online_username | VARCHAR(255) | TEXT
recurring_income.income_source | VARCHAR(255) | TEXT
recurring_income.payer_name | VARCHAR(255) | TEXT
digital_assets.asset_subtype | VARCHAR(100) | TEXT
digital_assets.asset_name | VARCHAR(255) | TEXT
digital_assets.asset_identifier | VARCHAR(500) | TEXT
digital_assets.platform_name | VARCHAR(255) | TEXT
digital_assets.access_url | VARCHAR(500) | TEXT
digital_assets.username | VARCHAR(255) | TEXT
digital_assets.registration_number | VARCHAR(100) | TEXT
digital_assets.jurisdiction | VARCHAR(100) | TEXT
digital_assets.wallet_address | VARCHAR(500) | TEXT
ownership_interests.entity_name | VARCHAR(255) | TEXT
ownership_interests.valuation_method | VARCHAR(100) | TEXT
ownership_interests.industry | VARCHAR(100) | TEXT
ownership_interests.management_role | VARCHAR(255) | TEXT
ownership_interests.primary_contact_name | VARCHAR(255) | TEXT
ownership_interests.primary_contact_title | VARCHAR(255) | TEXT
loans.loan_number | VARCHAR(100) | TEXT
loans.lender_name | VARCHAR(255) | TEXT
loans.borrower_name | VARCHAR(255) | TEXT
user_sessions.session_token | VARCHAR(500) | TEXT
user_sessions.refresh_token | VARCHAR(500) | TEXT
user_sessions.device_id | VARCHAR(255) | TEXT
user_mfa_settings.totp_secret | VARCHAR(255) | TEXT
password_reset_tokens.token_hash | VARCHAR(255) | TEXT
user_login_history.email | VARCHAR(255) | TEXT
user_login_history.failure_reason | VARCHAR(100) | TEXT
user_login_history.device_id | VARCHAR(255) | TEXT
user_login_history.location_city | VARCHAR(100) | TEXT
audit_log.entity_name | VARCHAR(255) | TEXT
audit_events.event_type | VARCHAR(100) | TEXT
pii_detection_rules.rule_name | VARCHAR(100) | TEXT
pii_detection_rules.masking_pattern | VARCHAR(100) | TEXT
pii_processing_jobs.target_table | VARCHAR(100) | TEXT
masking_configurations.table_name | VARCHAR(100) | TEXT
masking_configurations.column_name | VARCHAR(100) | TEXT
masking_configurations.masking_pattern | VARCHAR(100) | TEXT
pii_access_logs.table_name | VARCHAR(100) | TEXT
pii_access_logs.legal_basis | VARCHAR(100) | TEXT
translations.translation_key | VARCHAR(255) | TEXT
advisor_companies.company_name | VARCHAR(255) | TEXT
advisor_companies.company_type | VARCHAR(100) | TEXT
advisor_companies.primary_contact_name | VARCHAR(255) | TEXT
advisor_companies.website_url | VARCHAR(500) | TEXT
advisor_companies.license_number | VARCHAR(100) | TEXT
builder_io_integrations.api_key | VARCHAR(255) | TEXT
builder_io_integrations.space_id | VARCHAR(255) | TEXT
quillt_integrations.quillt_connection_id | VARCHAR(255) | TEXT
quillt_integrations.quillt_profile_id | VARCHAR(255) | TEXT
quillt_webhook_logs.webhook_id | VARCHAR(255) | TEXT
quillt_webhook_logs.event_type | VARCHAR(100) | TEXT
real_estate_provider_integrations.provider_name | VARCHAR(100) | TEXT
real_estate_provider_integrations.api_endpoint | VARCHAR(500) | TEXT
real_estate_sync_logs.data_source | VARCHAR(100) | TEXT


# Procedure parameter changes:
procedures.p_cognito_user_id | VARCHAR(100) | TEXT
procedures.p_cognito_username | VARCHAR(100) | TEXT
procedures.p_email | VARCHAR(255) | TEXT
procedures.p_first_name | VARCHAR(100) | TEXT
procedures.p_last_name | VARCHAR(100) | TEXT
procedures.p_first_name | VARCHAR(100) | TEXT
procedures.p_last_name | VARCHAR(100) | TEXT
procedures.p_name | VARCHAR(255) | TEXT
procedures.p_name | VARCHAR(255) | TEXT
procedures.p_persona_first_name | VARCHAR(100) | TEXT
procedures.p_persona_last_name | VARCHAR(100) | TEXT
procedures.p_name | VARCHAR(255) | TEXT
procedures.v_asset_name | VARCHAR(255) | TEXT
procedures.p_email | VARCHAR(255) | TEXT
procedures.p_entity_name | VARCHAR(255) | TEXT
procedures.p_event_type | VARCHAR(100) | TEXT
procedures.p_context | VARCHAR(100) | TEXT
procedures.p_company_name | VARCHAR(255) | TEXT
procedures.p_contact_email | VARCHAR(255) | TEXT
procedures.p_website | VARCHAR(255) | TEXT
procedures.p_space_id | VARCHAR(100) | TEXT
procedures.p_space_id | VARCHAR(100) | TEXT
procedures.p_space_id | VARCHAR(100) | TEXT
procedures.p_entity_id | VARCHAR(255) | TEXT
procedures.p_field_name | VARCHAR(100) | TEXT
procedures.p_entity_id | VARCHAR(255) | TEXT
procedures.p_config_key | VARCHAR(100) | TEXT
